PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
36,0,3,"Moore, Catherine",female,0.5,0,0,37.65,Q
37,0,3,"Davis, William",male,41.4,0,0,25.32,S
38,0,2,"Anderson, George",male,0.5,0,0,32.18,S
39,1,3,"White, Anna",female,49.7,1,0,30.91,S
40,1,1,"Davis, Frederick",male,44.2,0,0,93.02,S
41,0,3,"Williams, William",male,53.8,1,1,23.17,S
42,0,3,"Davis, Frederick",male,,0,0,63.87,S
43,1,1,"Martin, Thomas",male,,0,0,121.25,C
44,1,3,"Martin, Mary",female,12.0,1,0,20.73,S
45,0,3,"Moore, Charles",male,21.4,0,1,21.44,S
46,1,2,"Wilson, Evelyn",female,,2,2,37.99,S
47,1,1,"Taylor, Albert",male,39.0,1,0,95.69,C
48,0,3,"White, Joseph",male,30.7,0,1,35.56,S
49,0,3,"Davis, Robert",male,18.9,2,0,30.31,Q
50,0,3,"Jones, Thomas",male,65.8,1,0,22.34,S
51,1,3,"White, Mary",female,41.8,0,0,24.12,Q
52,0,3,"Williams, Mary",female,6.6,0,0,21.55,Q
53,0,3,"White, Dorothy",female,21.8,0,1,19.09,S
54,1,3,"Brown, Anna",female,42.0,2,2,20.77,S
55,0,3,"White, William",male,17.8,1,0,17.81,S
56,1,2,"Taylor, Helen",female,33.9,3,0,46.11,S
57,1,1,"Jones, John",male,42.3,1,0,109.77,S
58,0,1,"Smith, Robert",male,4.2,0,0,95.14,S
59,1,3,"Wilson, Robert",male,27.5,0,0,13.53,S
60,0,3,"Moore, Thomas",male,28.0,1,0,30.02,S
61,0,3,"Anderson, Frederick",male,23.2,1,0,22.12,Q
62,1,1,"Martin, Charles",male,33.2,5,0,90.33,S
63,1,1,"Thomas, Helen",female,38.2,0,0,83.51,S
64,1,1,"Miller, Albert",male,,0,0,85.38,S
65,0,2,"Wilson, Edward",male,23.8,1,1,38.18,C
66,0,3,"Thomas, James",male,37.9,1,0,15.91,S
67,1,2,"Taylor, William",male,29.7,0,4,33.6,S
68,1,2,"Brown, Alice",female,25.8,1,0,45.6,S
69,0,3,"Thomas, Thomas",male,10.6,0,1,45.09,S
70,0,2,"Brown, Dorothy",female,7.1,1,2,32.49,S
71,1,3,"Jones, Edith",female,10.4,1,0,37.24,Q
72,1,3,"Martin, George",male,32.9,2,0,30.98,C
73,0,2,"Thomas, Joseph",male,27.9,2,1,33.46,S
74,1,3,"Taylor, Anna",female,13.2,0,0,25.4,C
75,0,3,"Taylor, Catherine",female,38.0,0,0,30.81,S
76,1,3,"Anderson, Mary",female,48.2,4,0,34.3,S
77,1,1,"Wilson, Elizabeth",female,20.6,0,0,86.24,C
78,0,3,"Jones, Henry",male,4.6,2,0,29.31,S
79,0,3,"Miller, Charles",male,19.1,0,2,40.08,C
80,0,2,"Smith, Edward",male,41.0,1,1,46.72,S
81,0,3,"Williams, Evelyn",female,36.7,1,0,22.75,S
82,1,3,"Anderson, Thomas",male,16.1,3,2,28.87,S
83,1,3,"Martin, John",male,50.3,0,0,22.17,S
84,0,2,"Anderson, Frederick",male,47.9,1,3,51.03,C
85,0,3,"Johnson, George",male,18.7,0,0,32.04,Q
86,0,2,"White, William",male,18.6,0,0,26.12,S
87,1,1,"Wilson, Mary",female,20.7,1,1,110.54,C
88,1,1,"Williams, George",male,21.9,1,0,102.9,C
89,1,1,"Martin, Edith",female,42.3,3,1,97.38,S
90,0,1,"Martin, James",male,35.0,0,3,112.82,S
91,1,1,"Taylor, Robert",male,,0,1,90.69,S
92,1,3,"White, Margaret",female,38.4,0,0,18.47,S
93,0,1,"Johnson, Helen",female,53.0,0,1,89.42,Q
94,0,2,"Taylor, Frederick",male,10.9,0,0,38.84,S
95,1,3,"Williams, Dorothy",female,34.3,1,0,26.92,C
96,0,3,"Moore, Frederick",male,0.5,0,2,23.27,S
97,1,3,"Williams, Robert",male,3.2,3,0,24.89,
98,0,1,"Johnson, Robert",male,,4,1,107.21,S
99,1,1,"Anderson, Albert",male,34.9,1,2,101.03,S
100,1,1,"Wilson, Robert",male,27.6,3,1,90.4,S
101,1,1,"Jones, Robert",male,21.1,1,1,90.84,S
102,0,2,"Thomas, Frederick",male,23.5,0,1,48.63,S
103,1,1,"Wilson, William",male,48.2,0,0,92.53,S
104,1,1,"Miller, Albert",male,23.6,0,2,106.16,S
105,1,1,"Thomas, Dorothy",female,53.5,0,0,112.5,C
106,1,3,"Anderson, Charles",male,40.1,2,0,42.44,S
107,0,1,"Miller, William",male,35.4,0,0,105.3,S
108,1,2,"Moore, Helen",female,12.3,2,0,39.55,S
109,0,3,"Jones, Albert",male,42.1,1,0,22.93,S
110,0,3,"Johnson, John",male,22.1,0,1,25.09,Q
111,1,1,"Martin, James",male,12.3,5,0,95.06,S
112,1,3,"Anderson, George",male,36.2,0,0,37.79,S
113,1,3,"Wilson, Elizabeth",female,9.6,0,0,35.58,C
114,1,1,"Johnson, Dorothy",female,18.3,1,0,94.67,S
115,0,3,"Thomas, James",male,28.9,0,0,16.09,S
116,0,3,"Miller, Mary",female,60.1,1,0,32.76,S
117,1,1,"Williams, Dorothy",female,19.4,0,0,108.49,S
118,1,2,"Moore, James",male,22.6,0,0,32.57,S
119,0,3,"Thomas, Mary",female,39.3,3,0,45.16,S
120,0,3,"Taylor, Frederick",male,11.7,0,0,34.22,C
121,0,1,"Martin, Florence",female,35.2,0,0,138.17,C
122,1,1,"Jones, Evelyn",female,45.9,0,1,92.61,S
123,1,2,"Brown, Joseph",male,24.7,3,1,41.1,S
124,0,3,"Miller, Frederick",male,43.4,0,0,39.81,C
125,0,3,"Davis, Albert",male,33.1,0,3,20.47,S
126,0,2,"Thomas, Charles",male,18.8,0,0,42.73,C
127,0,3,"Taylor, Catherine",female,26.2,0,0,32.75,C
128,0,3,"Davis, Elizabeth",female,23.7,2,4,52.58,C
129,1,1,"Anderson, Joseph",male,27.8,1,0,111.13,S
130,1,2,"Jones, Frederick",male,10.3,0,2,73.46,S
131,1,3,"Johnson, Edward",male,7.7,1,0,15.65,S
132,0,3,"Johnson, Thomas",male,9.7,0,0,59.77,C
133,0,3,"Davis, Albert",male,0.5,3,0,21.45,S
134,0,3,"Martin, William",male,27.6,4,1,27.51,C
135,1,1,"Smith, Florence",female,7.9,0,0,101.27,S
136,1,2,"Smith, Robert",male,25.1,2,1,43.84,S
137,0,3,"Johnson, James",male,27.3,1,0,17.54,S
138,1,2,"Wilson, Emily",female,42.7,0,0,45.17,S
139,0,2,"Miller, George",male,28.6,0,0,36.53,S
140,0,2,"White, Elizabeth",female,32.6,0,0,27.45,S
141,1,1,"Anderson, Alice",female,40.1,1,2,112.28,Q
142,0,2,"Johnson, Robert",male,46.2,4,0,35.39,S
143,0,1,"Moore, Albert",male,27.3,1,1,88.45,S
144,1,2,"Martin, Charles",male,1.3,2,1,46.2,S
145,0,1,"Brown, Henry",male,29.1,1,0,91.92,C
146,0,3,"Brown, Thomas",male,21.4,2,0,38.0,C
147,0,3,"Brown, William",male,18.2,1,0,24.21,S
148,0,3,"Smith, Frederick",male,0.5,0,0,32.92,C
149,1,3,"Miller, Albert",male,13.9,0,0,23.53,C
150,0,3,"Anderson, John",male,11.7,1,0,27.31,S
151,1,1,"Smith, Edith",female,46.6,0,0,86.1,S
152,1,3,"Anderson, Henry",male,31.6,1,0,24.35,S
153,0,3,"Thomas, James",male,27.2,0,0,24.89,S
154,0,3,"Johnson, William",male,19.0,0,0,18.08,C
155,1,2,"Brown, Emily",female,29.4,1,0,54.08,S
156,0,1,"Williams, Frederick",male,17.1,0,1,83.76,Q
157,1,2,"Martin, Margaret",female,31.4,0,0,30.27,S
158,1,2,"Davis, Emily",female,32.4,0,0,31.27,S
159,0,3,"Smith, Frederick",male,16.9,2,1,36.11,S
160,1,3,"Williams, Edith",female,16.7,0,0,20.29,S
161,1,2,"Anderson, Frederick",male,42.5,2,0,69.25,C
162,1,3,"Anderson, Edward",male,28.3,0,0,55.31,C
163,0,3,"White, William",male,18.1,5,0,40.19,S
164,0,1,"Martin, William",male,23.8,3,0,88.11,S
165,1,1,"Smith, Thomas",male,14.9,0,0,90.88,S
166,1,1,"Martin, Elizabeth",female,28.1,0,0,93.77,S
167,1,2,"Davis, Robert",male,40.6,0,0,51.53,S
168,1,1,"Martin, Edward",male,28.6,1,1,92.09,S
169,0,1,"Brown, Frederick",male,62.1,0,1,87.84,S
170,1,2,"White, William",male,34.9,0,0,29.33,Q
171,1,1,"Miller, Margaret",female,32.2,0,1,109.02,S
172,1,3,"Thomas, Frederick",male,16.3,0,0,32.03,S
173,1,1,"Smith, George",male,25.7,0,0,89.63,S
174,0,3,"Wilson, Albert",male,18.1,1,1,24.52,S
175,0,2,"Martin, Albert",male,0.5,5,0,41.91,S
176,0,3,"Jones, Charles",male,42.6,0,0,58.78,Q
177,1,1,"Brown, Florence",female,21.8,0,0,98.79,C
178,0,2,"Williams, Henry",male,4.5,0,0,27.91,S
179,1,3,"Jones, Evelyn",female,31.9,2,2,21.07,S
180,0,3,"Thomas, George",male,2.3,2,2,27.68,S
181,0,3,"Anderson, John",male,24.5,2,1,25.3,
182,0,2,"Miller, Albert",male,29.0,4,1,44.62,S
183,0,1,"Martin, Anna",female,39.4,0,0,99.0,S
184,1,3,"Smith, Elizabeth",female,24.0,2,0,19.69,S
185,0,3,"Wilson, Robert",male,,1,0,23.57,S
186,0,3,"Johnson, Emily",female,8.5,0,0,16.17,S
187,1,3,"Thomas, Emily",female,11.6,3,0,57.87,Q
188,1,2,"Moore, James",male,37.5,0,3,49.26,S
189,1,3,"Smith, Robert",male,10.9,1,0,33.02,S
190,1,1,"Wilson, Charles",male,32.3,0,0,97.94,S
191,0,2,"White, Frederick",male,26.9,0,0,34.96,C
192,1,2,"Brown, Anna",female,23.9,1,0,42.02,Q
193,0,3,"Williams, Alice",female,17.4,0,1,27.54,S
194,1,2,"Jones, Albert",male,41.7,0,0,44.3,C
195,0,1,"Moore, James",male,53.2,0,0,86.93,S
196,0,3,"Williams, Joseph",male,33.2,2,1,25.77,S
197,1,2,"White, Margaret",female,33.5,0,0,49.68,S
198,1,3,"White, Evelyn",female,19.4,0,0,21.37,S
199,1,1,"Smith, Alice",female,12.3,2,0,107.69,S
200,1,3,"Brown, Emily",female,1.0,2,1,22.25,S
201,1,3,"Taylor, Thomas",male,15.4,0,0,18.73,S
202,0,1,"Taylor, Henry",male,4.2,1,1,93.18,C
203,1,2,"Miller, Albert",male,40.2,2,1,44.73,S
204,1,1,"Jones, Edith",female,40.9,2,0,107.59,S
205,1,1,"Johnson, Charles",male,17.0,0,3,89.42,S
206,0,3,"Wilson, James",male,32.4,0,1,20.59,S
207,1,2,"Martin, Frederick",male,43.0,0,1,41.73,S
208,0,3,"Wilson, Mary",female,,0,1,17.01,S
209,1,2,"Johnson, Charles",male,12.3,1,0,53.49,Q
210,0,3,"White, William",male,25.7,0,0,24.71,S
211,0,3,"Thomas, Henry",male,,1,0,27.22,S
212,1,3,"Smith, Evelyn",female,32.5,0,0,44.17,C
213,1,3,"Miller, Emily",female,36.5,0,0,46.11,S
214,0,2,"Wilson, Robert",male,33.8,2,2,44.04,S
215,1,2,"Miller, Florence",female,17.0,0,1,33.67,S
216,1,3,"Wilson, George",male,20.3,0,0,21.35,S
217,0,3,"Smith, Robert",male,7.4,2,1,23.95,S
218,1,3,"Taylor, Emily",female,40.4,0,1,17.94,S
219,1,1,"Miller, Henry",male,44.4,1,0,85.76,S
220,1,3,"Brown, Emily",female,17.0,1,0,24.04,S
221,1,3,"Anderson, Mary",female,35.1,0,0,35.48,C
222,1,1,"Johnson, James",male,45.6,2,1,97.78,S
223,1,1,"Smith, Albert",male,,0,0,97.26,S
224,0,3,"Smith, William",male,49.8,0,0,31.38,C
225,0,3,"Taylor, John",male,51.9,0,0,14.44,S
226,0,3,"Martin, John",male,12.7,0,1,22.24,S
227,1,1,"Anderson, Margaret",female,32.2,3,1,99.49,Q
228,0,3,"Davis, Henry",male,32.3,0,1,26.2,S
229,1,1,"Miller, Anna",female,40.6,0,3,94.41,S
230,1,1,"Anderson, Edward",male,14.6,0,1,99.11,C
231,1,1,"Johnson, Catherine",female,44.8,1,2,112.21,S
232,1,3,"Anderson, William",male,40.0,0,2,33.16,
233,0,3,"Moore, Edward",male,27.5,0,1,38.69,S
234,1,3,"Wilson, John",male,46.1,1,0,44.02,S
235,0,2,"Martin, Frederick",male,14.0,0,0,48.36,S
236,1,3,"Thomas, Elizabeth",female,29.1,0,0,44.46,C
237,0,2,"Taylor, Henry",male,50.9,0,0,26.64,S
238,0,3,"Taylor, Henry",male,11.5,0,0,30.71,C
239,1,2,"Taylor, Edward",male,19.5,2,0,33.39,S
240,1,2,"Moore, William",male,38.4,0,3,52.46,C
241,1,3,"Wilson, Dorothy",female,34.5,0,2,35.07,S
242,1,2,"Moore, Anna",female,16.7,0,1,31.57,S
243,1,3,"White, Margaret",female,23.2,1,0,36.8,S
244,0,3,"Davis, Frederick",male,12.5,1,0,26.74,S
245,1,1,"Brown, Frederick",male,42.7,0,0,92.82,S
246,0,3,"Miller, Margaret",female,25.4,1,0,40.56,C
247,1,2,"Miller, Joseph",male,54.1,1,0,36.54,C
248,1,3,"Williams, Catherine",female,30.1,2,0,38.93,
249,1,3,"Moore, Evelyn",female,,1,2,24.58,S
250,1,3,"White, Catherine",female,24.6,0,1,26.07,S
251,1,1,"Johnson, Frederick",male,5.9,0,0,86.53,S
252,0,3,"Moore, Henry",male,30.6,0,0,27.5,S
253,0,3,"Moore, Alice",female,,0,0,31.12,C
254,0,2,"Martin, Robert",male,24.3,5,0,47.15,Q
255,1,1,"Anderson, George",male,24.7,0,2,93.11,S
256,0,3,"Davis, George",male,,0,0,33.2,S
257,0,3,"Martin, Margaret",female,44.3,1,0,15.3,S
258,1,3,"Martin, Dorothy",female,9.1,0,0,23.0,S
259,0,3,"Jones, Edward",male,35.4,0,0,37.21,S
260,0,3,"Williams, Edward",male,17.6,0,0,40.89,S
261,1,1,"Johnson, Albert",male,2.1,0,1,99.8,C
262,1,2,"Johnson, Edith",female,22.1,1,0,41.93,S
263,0,2,"Miller, George",male,0.5,0,0,29.81,S
264,1,3,"Wilson, Charles",male,34.2,0,0,18.04,Q
265,0,1,"Thomas, Evelyn",female,34.1,0,0,85.5,C
266,1,3,"Moore, Elizabeth",female,20.9,0,2,31.9,S
267,1,3,"Williams, Catherine",female,20.1,1,0,53.68,S
268,0,3,"Martin, Elizabeth",female,10.6,0,0,40.67,S
269,1,2,"Smith, Henry",male,39.8,0,0,33.39,C
270,0,3,"Moore, Edward",male,41.4,3,0,24.88,C
271,1,1,"White, Mary",female,14.2,1,0,107.02,S
272,1,3,"Anderson, Helen",female,21.4,0,0,24.4,S
273,1,1,"Brown, Dorothy",female,11.4,0,0,87.95,C
274,1,2,"Brown, Helen",female,60.8,1,2,33.81,
275,0,3,"Moore, Albert",male,36.6,1,0,12.83,S
276,1,1,"Moore, Thomas",male,15.8,0,2,94.99,S
277,1,1,"Johnson, Dorothy",female,33.3,4,0,118.74,S
278,0,3,"Williams, John",male,9.7,0,2,30.78,S
279,1,3,"Brown, Evelyn",female,39.1,0,1,34.47,C
280,1,3,"Jones, Catherine",female,2.0,0,0,61.81,Q
281,0,3,"Brown, Anna",female,52.5,0,2,20.55,S
282,0,3,"Johnson, William",male,39.3,1,0,44.91,S
283,0,2,"Miller, Thomas",male,20.8,0,2,39.37,S
284,1,2,"Anderson, Edward",male,10.8,0,0,31.71,S
285,0,1,"Williams, George",male,9.4,2,0,98.7,S
286,0,3,"Miller, Joseph",male,0.5,0,0,19.88,Q
287,0,3,"Williams, Albert",male,38.7,0,3,24.01,S
288,0,2,"Wilson, William",male,27.6,0,0,49.98,S
289,0,3,"Smith, Charles",male,41.7,0,0,39.55,S
290,0,3,"Anderson, George",male,49.0,0,1,30.85,C
291,1,1,"Brown, James",male,30.4,1,1,129.79,C
292,0,3,"Anderson, Edward",male,31.0,0,0,21.35,Q
293,1,3,"White, Emily",female,22.5,0,0,70.88,C
294,1,3,"Davis, William",male,24.2,1,0,48.26,S
295,0,1,"Jones, Charles",male,39.2,1,0,114.87,S
296,0,3,"Martin, Henry",male,26.6,0,0,34.23,S
297,0,3,"White, Evelyn",female,24.5,0,2,35.28,S
298,0,3,"Moore, Henry",male,28.7,0,0,28.06,S
299,0,3,"Davis, James",male,41.4,0,1,45.13,S
300,0,3,"Brown, Robert",male,19.3,0,0,40.9,S
301,0,3,"Davis, William",male,28.1,0,0,30.13,S
302,0,1,"Smith, Henry",male,32.4,2,0,93.24,S
303,0,3,"Taylor, Frederick",male,45.2,0,0,19.01,C
304,0,3,"Moore, Robert",male,25.6,1,1,36.02,S
305,1,2,"Williams, Anna",female,19.0,0,2,42.08,S
306,1,3,"Jones, Helen",female,3.2,1,0,37.84,S
307,0,3,"Wilson, John",male,43.7,1,3,43.36,S
308,0,3,"Wilson, Albert",male,57.5,2,2,15.9,S
309,0,3,"Martin, Margaret",female,10.6,0,0,20.66,S
310,1,1,"Thomas, Edward",male,13.7,0,1,90.48,S
311,0,3,"Williams, Joseph",male,26.6,0,0,15.85,S
312,1,3,"White, Henry",male,30.6,1,0,33.05,S
313,0,1,"Martin, Joseph",male,,0,1,103.64,S
314,1,3,"Moore, Catherine",female,16.5,0,0,27.68,S
315,0,3,"Smith, Evelyn",female,14.1,0,0,15.44,S
316,1,3,"Brown, Helen",female,8.7,0,1,34.5,S
317,0,3,"Thomas, James",male,25.4,0,0,21.33,S
318,0,2,"Smith, Albert",male,42.0,0,0,33.52,S
319,1,1,"Miller, Robert",male,35.8,4,2,120.75,S
320,0,2,"Moore, Thomas",male,36.8,1,0,65.58,S
321,0,3,"Thomas, Robert",male,27.5,3,0,38.53,S
322,1,1,"Jones, Helen",female,62.0,0,1,95.7,C
323,1,2,"Jones, Emily",female,17.3,2,0,43.94,C
324,0,2,"Smith, John",male,37.6,1,0,53.59,C
325,1,3,"Moore, Dorothy",female,11.2,1,3,22.21,S
326,1,3,"Moore, Dorothy",female,14.0,1,1,78.75,S
327,1,2,"Moore, Henry",male,20.5,0,0,39.01,S
328,1,2,"Martin, Frederick",male,51.8,1,1,41.72,S
329,0,3,"Johnson, Thomas",male,11.2,0,2,26.37,S
330,0,3,"Taylor, William",male,20.7,0,0,18.19,S
331,0,1,"Brown, Charles",male,34.2,0,0,108.37,Q
332,1,3,"Martin, Catherine",female,29.5,3,0,33.61,S
333,0,1,"Davis, John",male,22.1,2,1,91.13,C
334,0,1,"Miller, George",male,11.1,4,0,103.55,S
335,0,3,"Jones, Charles",male,6.1,1,0,38.47,S
336,0,2,"Jones, Frederick",male,31.9,0,2,47.63,S
337,1,3,"Smith, Mary",female,,0,1,32.45,S
338,1,2,"White, Elizabeth",female,42.2,0,0,61.01,C
339,0,3,"Anderson, Albert",male,36.7,0,0,21.87,S
340,0,3,"Jones, Thomas",male,22.9,0,0,24.91,S
341,1,1,"Wilson, William",male,13.7,0,0,89.27,C
342,0,3,"Thomas, Frederick",male,26.0,0,0,68.67,S
343,1,1,"Taylor, William",male,13.3,3,2,87.37,Q
344,0,3,"Martin, William",male,38.1,0,0,33.34,S
345,0,1,"Davis, Robert",male,51.9,2,0,90.2,S
346,0,2,"Thomas, James",male,25.3,1,1,42.99,S
347,0,1,"Davis, William",male,42.2,0,0,80.79,S
348,0,3,"Miller, Albert",male,19.4,0,0,34.11,S
349,0,3,"Davis, Thomas",male,6.2,0,0,65.05,S
350,0,3,"Johnson, Thomas",male,17.6,0,0,37.69,C
351,1,1,"Moore, Joseph",male,0.5,1,2,89.55,C
352,1,3,"Wilson, Alice",female,,0,0,30.21,S
353,1,1,"Jones, Anna",female,30.8,0,0,83.54,S
354,0,3,"Davis, John",male,43.9,0,0,16.48,S
355,0,1,"Martin, James",male,40.1,4,4,119.98,S
356,1,1,"Jones, Henry",male,7.4,1,0,100.79,S
357,1,1,"Johnson, Henry",male,15.4,1,0,104.12,S
358,0,3,"Davis, John",male,35.4,0,0,30.45,S
359,1,3,"Anderson, Alice",female,51.2,1,0,27.61,S
360,1,1,"Anderson, Frederick",male,,1,0,103.44,Q
361,0,3,"Johnson, William",male,54.6,1,0,17.11,S
362,0,3,"Anderson, John",male,57.3,5,0,47.22,S
363,1,3,"Wilson, James",male,25.2,0,0,15.67,S
364,0,2,"Moore, John",male,19.2,3,1,51.41,S
365,1,2,"Wilson, Florence",female,18.3,3,0,62.63,S
366,0,3,"White, Robert",male,7.8,0,0,16.91,S
367,0,1,"Smith, Margaret",female,21.7,0,0,107.77,C
368,1,1,"Williams, Mary",female,45.9,4,3,107.52,S
369,1,3,"Jones, Charles",male,0.5,0,0,27.0,S
370,0,3,"Anderson, Robert",male,,0,2,18.88,Q
371,0,2,"Johnson, Albert",male,27.2,4,1,58.6,C
372,1,2,"Miller, William",male,16.7,0,0,40.46,S
373,0,3,"Smith, Robert",male,,0,4,45.59,S
374,1,2,"Taylor, Evelyn",female,21.8,1,0,31.44,S
375,0,1,"Jones, Robert",male,25.4,0,0,112.03,S
376,0,1,"Thomas, Robert",male,18.8,0,1,97.0,
377,1,3,"Johnson, Margaret",female,17.6,0,1,25.44,S
378,0,3,"White, Henry",male,42.1,1,0,47.49,S
379,1,1,"Miller, Margaret",female,43.7,0,0,107.1,S
380,1,1,"Miller, George",male,9.7,1,0,108.48,S
381,0,1,"Johnson, William",male,0.5,1,1,88.33,S
382,0,3,"Davis, Evelyn",female,43.9,0,0,32.31,S
383,1,1,"Martin, George",male,11.8,1,0,84.61,S
384,0,1,"Smith, Florence",female,32.0,0,0,87.59,
385,1,3,"White, Dorothy",female,7.1,1,0,21.65,S
386,1,1,"Davis, Edith",female,,0,2,105.75,S
387,0,3,"Jones, Robert",male,64.6,3,0,43.28,S
388,0,1,"Moore, John",male,31.6,0,3,99.97,S
389,1,1,"Davis, Catherine",female,27.7,0,0,90.95,S
390,1,2,"Williams, Helen",female,24.5,1,1,56.66,C
391,1,3,"Martin, Emily",female,,0,0,30.98,C
392,0,3,"Smith, Robert",male,36.9,0,0,26.86,S
393,1,3,"Smith, John",male,14.0,0,0,20.06,S
394,1,2,"Moore, Elizabeth",female,20.2,1,0,41.5,S
395,0,3,"Anderson, Henry",male,33.8,1,0,18.71,S
396,1,1,"Williams, Florence",female,21.4,0,4,96.52,S
397,0,2,"White, Dorothy",female,14.2,0,0,60.56,Q
398,0,3,"Johnson, Joseph",male,28.4,0,0,24.03,S
399,1,1,"Williams, Evelyn",female,16.1,1,0,102.88,S
400,1,1,"Anderson, Helen",female,9.7,1,0,93.51,C
401,1,1,"Johnson, James",male,16.9,0,0,114.58,Q
402,1,1,"Moore, Edith",female,34.1,0,1,96.43,C
403,1,1,"Martin, Charles",male,20.6,0,2,117.57,S
404,1,3,"Taylor, Catherine",female,32.9,0,0,18.73,S
405,1,2,"Jones, Albert",male,21.7,0,0,34.48,S
406,1,3,"Jones, Anna",female,11.4,0,0,22.83,S
407,0,3,"Brown, Albert",male,35.8,1,0,22.26,S
408,0,2,"Davis, Frederick",male,25.7,0,0,50.06,S
409,1,2,"White, Edith",female,33.0,3,1,53.21,Q
410,1,2,"Moore, William",male,23.0,0,0,41.34,S
411,0,3,"Thomas, Frederick",male,10.4,1,0,35.57,S
412,1,2,"Davis, Helen",female,44.2,1,1,93.2,S
413,0,3,"Davis, Florence",female,,0,0,30.64,S
414,0,2,"Moore, Charles",male,21.1,0,1,50.52,S
415,0,3,"Brown, Robert",male,,1,0,19.88,S
416,0,2,"Williams, Frederick",male,43.6,0,0,33.56,S
417,0,2,"Jones, Thomas",male,22.6,3,2,36.38,S
418,0,3,"Williams, Henry",male,24.8,0,2,30.96,S
419,1,3,"White, Anna",female,32.4,3,1,30.02,Q
420,1,1,"Jones, Margaret",female,22.6,0,0,82.99,S
421,0,3,"White, Margaret",female,41.0,1,1,32.51,S
422,1,3,"Martin, Florence",female,26.6,1,0,30.95,S
423,0,3,"Williams, Albert",male,18.0,1,2,42.5,S
424,0,3,"Anderson, James",male,37.5,0,0,22.28,S
425,1,2,"White, Thomas",male,13.0,1,3,56.57,S
426,1,1,"Johnson, William",male,57.2,0,2,107.76,C
427,1,2,"Martin, John",male,51.2,1,1,52.68,C
428,1,3,"Anderson, Margaret",female,13.1,0,0,18.27,S
429,1,3,"White, Robert",male,35.0,2,0,29.81,C
430,1,2,"Davis, Frederick",male,34.4,0,1,56.82,S
431,1,1,"Anderson, Albert",male,22.2,1,0,109.81,C
432,1,3,"Martin, Alice",female,33.2,2,1,19.4,S
433,0,3,"Wilson, Edward",male,16.1,1,0,35.83,S
434,0,3,"Anderson, John",male,36.1,0,0,18.62,C
435,0,1,"Wilson, Joseph",male,4.4,0,2,92.2,S
436,1,2,"Brown, Margaret",female,23.7,5,0,55.63,C
437,0,1,"Miller, Thomas",male,20.7,0,0,98.38,S
438,1,3,"Miller, Alice",female,12.0,0,0,15.02,S
439,1,1,"Moore, Mary",female,49.4,1,0,87.08,S
440,1,3,"Martin, James",male,21.8,1,1,52.84,S
441,1,2,"Thomas, Joseph",male,26.2,0,0,29.25,S
442,0,3,"Miller, Alice",female,33.2,1,2,27.44,C
443,0,3,"Jones, Henry",male,33.0,1,2,15.61,S
444,1,3,"Moore, Henry",male,39.5,0,0,60.96,C
445,0,1,"Anderson, Evelyn",female,23.7,3,1,96.48,C
446,1,1,"Anderson, Evelyn",female,13.1,0,0,86.26,S
447,1,1,"Anderson, Dorothy",female,10.6,0,0,86.61,C
